#    row  column               value [au]
      51       7  -3.5360943547402268E-04
      52       7  -1.5358726648827131E-03
      53       7   2.4583909585067909E-06
      57       7   4.2283384089852367E-04
      68       7  -9.8443320795985990E-06
      69       7  -5.4537737015031764E-05
      72       7  -9.9900173795278816E-05
      74       7   1.1243739386021649E-05
      83       7   1.1366177729436131E-05
      85       7  -1.5759386099212300E-05
      89       7  -8.3102066748562723E-06
      90       7   6.8928368235731276E-06
      98       7   7.3145813978847850E-07
     102       7  -2.3007617927342416E-06
     107       7  -1.1405432578317362E-06
     113       7  -2.0470498677699879E-06
     115       7   1.5174183835557589E-07
     121       7  -6.9237644162359107E-07
     124       7   2.5190311221357112E-06
     129       7   7.4675586039120785E-07
     136       7   1.3421015482646600E-06
     137       7   6.6030138518075736E-07
     140       7   2.0053764911853472E-06
     143       7   4.5391629490255853E-06
     147       7   5.1182981772669888E-09
     150       7  -3.1776637929501444E-06
       4       8   1.0285002496079387E-15
       5       8   1.0578211047895734E+00
      26       8   1.5838674393523353E-01
      33       8   3.2546604985368549E-01
       2       9  -7.0172721081277520E-02
       6       9   5.0505954772934414E-01
       7       9  -1.4285021792252407E-03
       9       9   4.3138614978508944E-15
      11       9   7.1432315966556814E-01
      12       9   1.5085779328785839E-03
      13       9   2.7426710942846951E-15
      17       9  -8.0847584423985652E-02
      25       9  -1.2146237505868305E-02
      28       9  -3.5426719108788175E-04
      29       9  -4.7184954680598246E-02
      30       9  -3.4454977288610397E-02
      31       9   2.8193208324970998E-15
      38       9  -1.1809960233028524E-04
      41       9  -8.0990050499277124E-04
      44       9  -8.5143589184140953E-04
      46       9   7.2573279971142055E-04
      47       9  -2.5025575958524812E-04
      59       9  -1.2667480852802598E-04
      61       9  -7.4293349877997209E-05
      62       9  -2.1191707419441103E-04
      63       9   3.4105944798906224E-05
      66       9  -1.4947027645550363E-03
      78       9   1.1012057198381384E-04
      79       9  -5.2650531744881395E-06
      81       9   2.7795571923167219E-05
      84       9   1.8403687859362737E-07
      92       9  -7.1290686563422708E-05
      94       9  -3.2111394647519340E-05
      99       9   4.2128417869567935E-05
     108       9  -1.3484077569620660E-04
     110       9  -1.9095406350898597E-05
     120       9  -3.0263399537559292E-06
     126       9  -7.7543644169797988E-05
     130       9  -1.3264806709562758E-04
     131       9  -3.5698608296458366E-05
     139       9   7.9473611031529928E-05
     144       9  -9.1029450323962916E-06
     148       9   8.9482043198487954E-05
       2      10  -4.9904788972193206E-02
       6      10   1.0744902593437615E-03
       7      10   5.0546922742650169E-01
      10      10  -4.4726789095033333E-15
      11      10  -2.0016060753484596E-03
      12      10   7.1476778219052994E-01
      13      10  -3.6791441337304364E-14
      15      10  -1.1603782350568083E-15
      16      10  -2.0636048387014053E-15
      17      10   6.3866637817932568E-03
      25      10  -7.2283170171966935E-02
      28      10  -3.1049912186842344E-05
      29      10  -3.8099474825125219E-02
      30      10  -3.4036201545232535E-02
      31      10   2.7821176297298727E-15
      38      10  -3.1251030897938917E-04
      41      10   1.0653599287904384E-04
      44      10  -1.1060441501866071E-03
      46      10   7.1675803090079273E-04
      47      10  -3.0432780916095203E-03
      59      10   5.3832678605621805E-06
      61      10  -5.2712046638147495E-04
      62      10  -2.1799652333795725E-03
      63      10   9.7765521839094760E-05
      66      10   5.7858355204730807E-04
      78      10  -4.2883522166358508E-05
      79      10  -5.4593035661409817E-05
      81      10  -1.6613931133834908E-04
      84      10   1.0669183971714511E-04
      92      10   4.0183733277540980E-05
      94      10  -3.3649739875968613E-05
      99      10   2.9526118177840321E-05
     108      10  -4.4220443802830687E-05
     110      10  -2.6346657224116826E-05
     120      10  -7.3076990333354131E-05
     126      10  -3.0439951143879533E-05
     130      10  -1.2931548151450030E-04
     131      10  -5.7277498726283877E-05
     139      10   8.7139516154166219E-06
     144      10   4.4555275094748694E-05
     148      10   8.4041117128164214E-05
       1      11  -9.9571662946354314E-04
       3      11  -6.8077946655866584E-02
       6      11  -1.3034539293665011E-15
       9      11   7.1432315966556803E-01
      10      11  -2.0016060753484471E-03
      11      11  -4.1550266246775151E-15
      12      11   4.7462605185129270E-14
      13      11   8.7473065205248679E-01
      15      11   3.9874949920872503E-03
      16      11   2.0005118396828064E-15
      19      11   1.1113413759975519E-15
      22      11  -8.0161731975631270E-02
      31      11  -1.1212086124993314E-02
      35      11  -3.9535491712667688E-03
      37      11  -1.5117409261973408E-02
      38      11  -1.5618505976728002E-15
      39      11  -5.5393943044044811E-02
      45      11  -1.0009208785997621E-03
      49      11  -5.9901544954879874E-04
      53      11  -3.7393735894734995E-04
      54      11  -2.8214970860522756E-03
      60      11   3.1694779564190889E-03
      68      11  -1.7105953850114858E-04
      69      11  -7.1260179797191228E-04
      74      11  -2.0294260430016170E-03
      77      11   3.7255765848388106E-04
      89      11   1.1137921695924260E-03
      93      11   1.8197675786714397E-03
     101      11   2.0265793433350923E-03
     102      11   2.1730815157166211E-04
     107      11  -6.4245602397177315E-04
     113      11   1.0478401812106142E-03
     124      11  -9.9533598046920333E-05
     137      11  -1.0767743533861185E-03
     143      11  -1.2127556251589520E-03
       1      12  -5.4360864245440305E-04
       3      12  -4.8967269289388132E-02
       4      12  -3.3482634297120006E-15
       7      12   1.7714542205339406E-15
       9      12   1.5085779328786067E-03
      10      12   7.1476778219052994E-01
      11      12   4.7462605185129257E-14
      13      12  -4.7480844052627119E-03
      15      12   8.7519216740734584E-01
      16      12   6.0575046719184256E-14
      21      12   1.8530655981618499E-15
      22      12   6.3440606417928310E-03
      25      12  -1.2953520228592996E-15
      28      12  -4.1988423700431189E-15
      29      12  -1.8085997112291071E-15
      30      12  -3.2746181841114554E-15
      31      12  -7.1286197144284802E-02
      35      12  -9.6608628204835484E-04
      37      12  -6.9755277712600658E-03
      38      12  -2.0026060616131834E-15
      39      12  -4.9941307828076827E-02
      44      12  -3.0583146803534339E-15
      45      12  -2.6340542022286586E-03
      48      12  -2.4266453280749512E-15
      49      12   8.0987258218743631E-05
      53      12  -3.9622084126139908E-03
      54      12  -3.2765924847962266E-03
      60      12   3.6507048361245309E-04
      68      12  -6.2852619113509757E-04
      69      12  -2.8944026289900921E-03
      70      12  -1.7801248985287158E-15
      74      12   3.6695773410294619E-04
      77      12   1.7776479153404255E-03
      89      12  -4.6529585066977810E-05
      93      12   9.2768820275243255E-05
     101      12   2.4054347387263615E-03
     102      12   8.2216584409778811E-04
     107      12   2.5070063068555334E-04
     113      12   6.7155280998417875E-04
     124      12  -5.3673105556689715E-04
     137      12   2.0820851478822062E-05
     143      12  -1.3892527205107089E-03
       2      13  -1.6693489604477159E-03
       3      13   2.4326955177901914E-15
       4      13  -6.2595615692308260E-02
       7      13   1.0247303845857998E-15
       9      13   2.7426710942846955E-15
      10      13  -3.6791441337304364E-14
      11      13   8.7473065205248668E-01
      12      13  -4.7480844052627163E-03
      13      13  -5.2772769826529505E-15
      15      13  -5.3861475930711295E-14
      16      13   1.0009171095048026E+00
      21      13   6.0222222074438669E-02
      26      13  -2.9737390320319758E-15
      28      13  -7.2930412903657954E-02
      31      13   4.3572448504323822E-15
      33      13  -1.1702075627255091E-15
      38      13  -8.2607857105698977E-03
      39      13   2.8944721133711197E-15
      44      13  -5.2782028128388753E-02
      45      13   1.2670467133845465E-15
      46      13   1.4464456855183801E-02
      48      13  -3.8372735868317874E-02
      58      13   1.4131056791471838E-03
      59      13   1.0286750629963674E-03
      63      13  -1.1791456745623122E-03
      70      13  -2.7977904132663427E-02
      78      13  -1.0506577004793936E-02
      79      13  -1.5184126157992818E-03
      84      13  -6.6941754270648871E-03
     108      13   1.1379183141017898E-02
     120      13  -2.3890868851566410E-03
     130      13   1.1898729138840179E-02
       6      14  -8.1340705586314274E-02
       7      14   6.4568758375347143E-03
      17      14   5.0764787662839994E-01
      18      14  -1.0432040213578331E-01
      25      14   1.3304247796641210E-04
      27      14  -1.2907598678306455E-02
      29      14   2.8324330766271862E-04
      30      14   1.0013525664528766E-03
      32      14  -3.3498876734701794E-04
      41      14   1.4916623769754092E-06
      42      14  -5.0397461546466240E-03
      43      14  -5.7180027609586632E-02
      47      14  -2.3735683982003364E-06
      50      14   4.4934098875794772E-03
      61      14  -4.8654168914647689E-05
      62      14  -5.8151591358837238E-04
      64      14   1.4469671572658142E-04
      66      14   6.9208591225066346E-05
      75      14  -1.4736034550194162E-04
      76      14   1.4718072453730617E-05
      81      14   2.9897314679839929E-06
      82      14  -1.0789054532638501E-03
      88      14   4.6023074258119684E-06
      92      14  -1.3509770557014029E-06
      94      14  -2.8667754368069700E-06
      99      14  -3.0807639782902090E-05
     103      14   3.9702092228901430E-06
     110      14   3.0157229328313704E-07
     111      14  -4.9874554682178339E-05
     119      14   1.6404307193420969E-06
     126      14  -3.0832472962723656E-06
     128      14  -5.5859526288962626E-06
     131      14  -4.5733112874447006E-06
     133      14   5.1031955803273964E-07
     139      14   3.4905963177692099E-06
     142      14   1.7364896426246425E-06
     144      14  -9.4088376822889006E-07
     145      14   1.6242157959882391E-06
     148      14   3.8236838318075382E-06
     149      14  -2.6026522489045097E-06
       2      15  -9.3538506947676446E-04
       4      15  -4.5903492013102842E-02
      10      15  -1.1603782350568083E-15
      11      15   3.9874949920872442E-03
      12      15   8.7519216740734573E-01
      13      15  -5.3861475930711314E-14
      15      15   3.6596157113232622E-15
      16      15  -6.7144278636058985E-02
      21      15   1.0029542735824288E+00
      26      15  -4.6388939063447988E-15
      28      15   7.7666924304533626E-03
      31      15   1.1129275659567155E-15
      33      15  -1.0575493882495986E-15
      35      15   1.0027867431521557E-15
      38      15  -6.5770807592280420E-02
      44      15  -3.9543219273219077E-02
      46      15   2.5705531295065483E-02
      48      15  -4.4494818944308687E-03
      58      15  -2.3637547063173552E-02
      59      15  -1.3676325851730473E-03
      63      15  -1.0136719709686633E-02
      70      15  -3.0070690452505551E-02
      78      15  -7.4965036940118981E-03
      79      15  -3.5816269807744712E-04
      84      15  -7.9323446701194886E-03
     108      15  -3.4112770669280208E-04
     120      15   6.9404895110168167E-03
     130      15   1.2163901291456683E-02
       3      16  -3.8538847485866134E-03
       5      16  -3.6122429426079516E-03
       7      16  -1.0188957527797946E-15
      10      16  -2.0636048387014057E-15
      11      16   2.0005118396828064E-15
      12      16   6.0575046719184231E-14
      13      16   1.0009171095048026E+00
      15      16  -6.7144278636058985E-02
      16      16   4.7825616497069877E-15
      21      16   4.8577989692688367E-15
      26      16   9.5824543790015992E-01
      33      16   4.0047722206445413E-01
      35      16   7.9822769084706997E-03
      45      16   1.1030645876980671E-02
      54      16  -5.6955610987235207E-03
      60      16  -4.2952576549493804E-02
      77      16   3.7754999135223045E-03
      93      16  -6.5120985255247704E-02
     101      16  -5.4869785504360939E-02
       1      17  -1.6212923919331039E-03
       9      17  -8.0847584423985625E-02
      10      17   6.3866637817932524E-03
      14      17   5.0764787662840005E-01
      19      17  -2.4575814530447212E-04
      22      17   7.1768854152077377E-01
      23      17  -8.8342439787598374E-03
      24      17  -1.0225509941526238E-01
      25      17   2.1132965602245079E-15
      31      17   1.6249768841037596E-04
      34      17  -1.5873849641667964E-02
      37      17  -9.4464494271567269E-04
      39      17   1.2709865458246264E-03
      40      17  -3.0393746172831238E-04
      49      17   1.2255076276067677E-04
      51      17  -5.0276691099524736E-03
      52      17  -5.5888658096322916E-02
      53      17  -1.1307821124959782E-05
      57      17   4.4204462980254435E-03
      68      17  -1.6171138157827130E-04
      69      17  -1.0238819643494268E-03
      72      17   1.8663920506922096E-04
      74      17   9.4029928072929519E-05
      83      17  -2.0614866247354419E-04
      85      17  -8.6778568923955714E-06
      89      17   1.8025162013657006E-04
      90      17  -1.5356777160190418E-03
      98      17   9.0659292291253261E-06
     102      17   2.7085797338701150E-05
     107      17  -1.6902829040812061E-04
     113      17   5.4188176206391441E-05
     115      17   4.1755541602803725E-05
     121      17  -7.4914318664767244E-05
     124      17  -4.6662479396050677E-06
     129      17  -4.4132357933071336E-05
     136      17  -1.8403333519863765E-05
     137      17  -1.0956790875767087E-04
     140      17  -7.1277143220371572E-05
     143      17  -9.7717544541537472E-05
     147      17   9.4258137157125871E-05
     150      17   6.8729077063182426E-05
      14      18  -1.0432040213578331E-01
      19      18   8.3264619323049534E-04
      20      18  -1.6167235649566242E-01
      23      18   3.9650974719314433E-02
      24      18   5.1659715315089649E-01
      34      18  -7.7808376732071746E-03
      36      18  -2.5191277462342730E-06
      40      18   1.9034769571759698E-06
      51      18   3.9118452443934484E-05
      52      18   4.3813621202093639E-04
      55      18  -5.6996231796974384E-02
      57      18  -4.5647046254446547E-05
      65      18   8.1424863768796434E-04
      67      18   1.9235635326357592E-04
      72      18  -6.0618700271734534E-04
      73      18   9.5134397736978613E-04
      80      18  -8.0934551090551598E-06
      83      18   4.1428263776770002E-06
      85      18   2.0676750255547890E-05
      90      18   2.6880484702382126E-05
      95      18  -1.1036860546603880E-03
      98      18  -1.6710705511967771E-07
     100      18   1.3047088171409414E-04
     109      18   3.1826860616470798E-05
     115      18  -3.2939723049064989E-05
     118      18  -3.9476695686851167E-06
     121      18   5.4313756264007064E-06
     125      18  -5.1788589115437002E-05
     129      18   1.1583746831813395E-06
     135      18   1.3519767227473048E-06
     136      18  -1.2243994408127378E-07
     138      18  -5.8443947058880421E-06
     140      18  -4.1083649545586369E-06
     146      18   3.8028304590493908E-07
     147      18   9.1686027075025990E-07
     150      18   1.1113899680661513E-06
       6      19  -1.3229112127416721E-02
       7      19  -7.3341054085624649E-02
      11      19   1.1113413759975519E-15
      17      19  -2.4575814530447207E-04
      18      19   8.3264619323049523E-04
      22      19  -1.9782980182504088E-15
      25      19   5.0653414521812767E-01
      27      19  -5.1981922151473145E-05
      28      19  -1.1363459851271605E-14
      29      19   4.8272064339919280E-03
      30      19   4.1209180738790985E-03
      31      19  -1.5367542796004175E-15
      32      19  -8.5315834088183912E-02
      41      19  -4.9032700948197842E-06
      42      19  -8.3467566044761517E-03
      43      19  -1.5196578408760047E-02
      44      19   1.3251208657618108E-15
      47      19  -3.2776443817111525E-04
      50      19  -6.7744593790262903E-02
      61      19  -2.4387620117467466E-05
      62      19  -9.3652416279410916E-05
      64      19  -3.2034990344948872E-04
      66      19  -8.5768254450442236E-04
      75      19  -1.7163733627593812E-04
      76      19  -4.8543344548967258E-05
      81      19   2.5830356254589047E-06
      82      19  -1.5484912993364653E-03
      88      19   8.6723218320082962E-06
      92      19  -2.4025665058643489E-06
      94      19  -2.4960321404505432E-06
      99      19  -5.4793500472491895E-05
     103      19  -9.7016150105285007E-05
     110      19  -1.0611336078678053E-06
     111      19   2.2461962112575573E-05
     119      19  -1.5992667982292986E-05
     126      19  -9.3413911858227203E-06
     128      19   7.9159882336815539E-07
     131      19  -3.3206759581029739E-06
     133      19   4.3058818913853821E-07
     139      19   1.5660877175227838E-07
     142      19   2.3106803179594040E-06
     144      19   2.9393313319003835E-06
     145      19   1.8910143008818813E-06
     148      19   5.2073413903648015E-06
     149      19  -3.2054721283577039E-06
      18      20  -1.6167235649566242E-01
      20      20   2.4485307736840453E-15
      27      20   4.7656353571817539E-01
      32      20  -5.0208028435017159E-06
      34      20   1.7710051361773949E-15
      42      20  -3.1338571858273480E-05
      43      20  -3.5480789953421128E-04
      50      20   2.4109519317513565E-05
      56      20  -5.7008410915928120E-02
      64      20   3.2340067135817684E-04
      71      20   2.0156805238346550E-06
      75      20  -8.2439627025625284E-05
      76      20  -4.9261575717002683E-04
      82      20  -1.9948342151220520E-06
      86      20   5.7531234933715450E-04
      88      20   9.0694155524599623E-08
      91      20  -8.3330584154573282E-05
      97      20  -9.6798652273432132E-04
     103      20   2.0408638109933415E-05
     106      20   6.5973403016330427E-06
     111      20  -3.1367932689206248E-06
     116      20   3.9819207259132016E-05
     119      20  -2.5281332409575296E-05
     127      20  -3.8480165983537290E-05
     128      20   3.0653694994006082E-07
     132      20   8.6049978967928921E-06
     133      20   2.4346578472970488E-06
     141      20  -3.8255534804076008E-06
     142      20  -2.2237857087545751E-06
     145      20   6.7934165378720479E-07
     149      20  -3.6316188037612670E-07
       3      21  -2.6686770658863896E-03
       5      21  -4.1923535797663836E-03
      12      21   1.8530655981618503E-15
      13      21   6.0222222074438676E-02
      15      21   1.0029542735824288E+00
      16      21   4.8577989692688359E-15
      21      21  -1.7413414809392613E-15
      25      21  -1.0405873432897370E-15
      26      21  -4.5710882432886568E-01
      33      21   9.4290290607260663E-01
      35      21   1.6897439727799762E-02
      45      21   2.3202677905976988E-03
      54      21  -2.5481698793971656E-03
      60      21   1.2071610058471986E-02
      77      21  -2.7760906180372916E-02
      93      21   5.2275735756751535E-03
     101      21  -8.3066619118321514E-02
       2      22  -2.2983047441389182E-03
       6      22  -1.3792147750566505E-04
       7      22  -4.1782786166418627E-06
      11      22  -8.0161731975631312E-02
      12      22   6.3440606417928275E-03
      17      22   7.1768854152077377E-01
      19      22  -1.9782980182504088E-15
      22      22  -1.7954124522517909E-15
      23      22  -1.1772639608494214E-15
      25      22  -2.8443319560235788E-04
      28      22   8.7831053573460327E-01
      29      22  -6.7906525404621804E-02
      30      22   7.4628046310567742E-02
      31      22  -6.1351706763293850E-15
      38      22   6.9187749362693515E-04
      41      22  -1.7458508035586125E-02
      44      22  -3.3469151852405870E-03
      45      22  -1.0261900872073087E-15
      46      22  -9.3578333168467739E-03
      47      22  -2.6238400677087710E-04
      59      22   6.0654855152839447E-03
      61      22  -4.6315122911011067E-03
      62      22  -5.4566175462332354E-02
      63      22  -1.1315978192679918E-04
      66      22   4.3776706177249946E-03
      67      22  -1.7430988498657318E-15
      78      22  -3.6535411038401927E-03
      79      22  -1.8093792057369910E-04
      81      22  -4.5322941910593527E-04
      84      22  -4.4263423634469270E-04
      92      22  -3.2546488934626105E-04
      94      22   8.0542558532847159E-04
      99      22  -2.2891843597953382E-03
     108      22   3.0343283017298947E-03
     110      22   4.1407063211277384E-05
     120      22  -4.6244410873324957E-04
     126      22   1.5361358162625405E-03
     130      22   1.4497364492667138E-03
     131      22   1.0627091107279723E-04
     139      22  -1.9922203809735611E-03
     144      22   3.6747833878762412E-04
     148      22  -9.8322154818054788E-04
       6      23  -5.9413517547981638E-02
       7      23  -5.1413955464351339E-02
      17      23  -8.8342439787598356E-03
      18      23   3.9650974719314440E-02
      22      23  -1.1772639608494212E-15
      25      23  -7.4618533452144812E-03
      27      23  -9.6922779776885647E-03
      28      23   7.2567268989202321E-15
      29      23   4.1182924782842895E-01
      30      23   2.9132018459732328E-01
      31      23  -2.3708074217832924E-14
      32      23   7.9368686768034411E-03
      37      23   1.0994402156037897E-15
      38      23   1.1790404630620457E-15
      41      23  -6.9981473909434941E-04
      42      23  -7.1896483273700398E-03
      43      23  -8.0846502932757497E-02
      47      23   2.7014580267808923E-05
      50      23  -4.9020123093996351E-02
      61      23   1.5536778618635798E-06
      62      23   2.1940214751976754E-05
      64      23  -7.3069706718694172E-03
      66      23   7.9066746903300999E-05
      75      23  -2.1505028641569681E-03
      76      23  -8.7722717625537646E-05
      81      23  -7.0310029112691840E-05
      82      23   5.8259849377970900E-04
      88      23  -2.0060159636885085E-04
      92      23   7.2939169301424455E-07
      94      23   2.6422132724719428E-06
      99      23   1.3449572986574896E-05
     103      23  -9.1712847713288758E-05
     110      23  -1.4975265736446939E-06
     111      23   1.4404210260828222E-05
     119      23   4.7339740587245194E-06
     126      23  -3.6320736737056776E-06
     128      23  -3.1210568063560024E-07
     131      23  -1.6710009695489883E-06
     133      23  -7.0990009045975250E-06
     139      23   1.2421724465060952E-07
     142      23   7.3465575780013141E-07
     144      23   2.3570386365003178E-06
     145      23  -1.3016259255051752E-07
     148      23   1.7518687988619924E-06
     149      23  -1.1049626144965683E-06
       6      24   5.5033512682545042E-04
       7      24   4.0748708794983903E-03
      17      24  -1.0225509941526238E-01
      18      24   5.1659715315089649E-01
      24      24  -2.4093898026761474E-15
      25      24   1.2063625118661357E-03
      27      24  -1.4068156158046821E-01
      29      24   4.5338194311374930E-01
      30      24  -5.6888471088788350E-01
      31      24   1.3923914310195760E-14
      32      24  -5.1303256942407643E-04
      37      24  -1.0005415547532368E-15
      41      24  -1.0506415078468660E-02
      42      24   4.6733823219652858E-04
      43      24   5.2196141205554554E-03
      47      24   2.0855314273988203E-06
      50      24   3.5436503322789632E-03
      61      24   4.7214454506260379E-05
      62      24   5.6660938555177284E-04
      64      24  -5.5349547367759988E-02
      66      24  -6.2371820187495818E-05
      75      24   5.0183878249379069E-04
      76      24   8.5960325111771301E-04
      81      24  -1.0212099980525474E-03
      82      24   8.9107540770663079E-04
      88      24   3.8244357703757372E-06
      92      24  -1.1759338821662604E-06
      94      24   6.5720374853706250E-05
      99      24   2.0241097945451071E-05
     103      24  -1.5515428152633145E-03
     110      24   7.6251057877888602E-07
     111      24   1.7931510280409609E-04
     119      24   4.7580335717841935E-05
     126      24  -2.8691595945978292E-06
     128      24  -2.0465128263118618E-06
     131      24   2.1636232925026652E-05
     133      24  -7.7261794610682352E-05
     139      24  -5.0400825049472147E-05
     142      24  -2.0475403266139801E-05
     144      24   1.9195833817908367E-05
     145      24  -3.1973005868297669E-05
     148      24  -5.5605925383276883E-05
     149      24   3.6878426749590603E-05
       1      25  -1.0935422600434170E-03
       9      25  -1.2146237505868301E-02
      10      25  -7.2283170171966948E-02
      12      25  -1.2953520228592994E-15
      14      25   1.3304247796641215E-04
      17      25   2.1132965602245071E-15
      19      25   5.0653414521812778E-01
      21      25  -1.0405873432897370E-15
