# generated by tm_en_gh [RWA]; det_c =  200.000 MHz, det_1 =    0.000 MHz, det_2 = -100.000 MHz, alpha_1 =  -290.00 MHz, alpha_2 =  -310.00 MHz, J_qubit =     0.00 MHz, g_1 =    70.00 MHz, g_2 =    70.00 MHz, gamma_1 =     0.01 MHz, gamma_2 =     0.01 MHz, kappa =     0.05 MHz
#    row  column           Re.value [GHz]           Im.value [GHz]      i,  j,  n (row)          i,  j,  n (col)
      98      98  -7.6999999999999935E-01  -4.7500000000000003E-05      3      1      1          3      1      1
      98     103   9.8994949366116650E-02   0.0000000000000000E+00      3      1      1          3      2      0
      98     122   0.0000000000000000E+00   0.0000000000000000E+00      3      1      1          4      0      1
      98     127   1.3999999999999999E-01   0.0000000000000000E+00      3      1      1          4      1      0
      99      99  -5.6999999999999884E-01  -7.2500000000000000E-05      3      1      2          3      1      2
      99     104   1.3999999999999999E-01   0.0000000000000000E+00      3      1      2          3      2      1
      99     123   0.0000000000000000E+00   0.0000000000000000E+00      3      1      2          4      0      2
      99     128   1.9798989873223330E-01   0.0000000000000000E+00      3      1      2          4      1      1
     100     100  -3.6999999999999839E-01  -9.7500000000000012E-05      3      1      3          3      1      3
     100     105   1.7146428199482242E-01   0.0000000000000000E+00      3      1      3          3      2      2
     100     124   0.0000000000000000E+00   0.0000000000000000E+00      3      1      3          4      0      3
     100     129   2.4248711305964277E-01   0.0000000000000000E+00      3      1      3          4      1      2
     101     101  -1.6999999999999790E-01  -1.2250000000000000E-04      3      1      4          3      1      4
     101     106   1.9798989873223330E-01   0.0000000000000000E+00      3      1      4          3      2      3
     101     125   0.0000000000000000E+00   0.0000000000000000E+00      3      1      4          4      0      4
     101     130   2.7999999999999997E-01   0.0000000000000000E+00      3      1      4          4      1      3
     102     102   3.0000000000002580E-02  -5.0000225000000000E+00      3      1      5          3      1      5
     102     107   2.2135943621178653E-01   0.0000000000000000E+00      3      1      5          3      2      4
     102     126   0.0000000000000000E+00   0.0000000000000000E+00      3      1      5          4      0      5
     102     131   3.1304951684997051E-01   0.0000000000000000E+00      3      1      5          4      1      4
     103     103  -1.3799999999999997E+00  -2.8500000000000002E-05      3      2      0          3      2      0
     103     127   0.0000000000000000E+00   0.0000000000000000E+00      3      2      0          4      1      0
     104     104  -1.1799999999999993E+00  -5.3499999999999999E-05      3      2      1          3      2      1
     104     109   1.2124355652982138E-01   0.0000000000000000E+00      3      2      1          3      3      0
     104     128   0.0000000000000000E+00   0.0000000000000000E+00      3      2      1          4      1      1
     104     133   1.3999999999999999E-01   0.0000000000000000E+00      3      2      1          4      2      0
     105     105  -9.7999999999999876E-01  -7.8500000000000011E-05      3      2      2          3      2      2
     105     110   1.7146428199482242E-01   0.0000000000000000E+00      3      2      2          3      3      1
     105     129   0.0000000000000000E+00   0.0000000000000000E+00      3      2      2          4      1      2
     105     134   1.9798989873223330E-01   0.0000000000000000E+00      3      2      2          4      2      1
     106     106  -7.7999999999999825E-01  -1.0350000000000001E-04      3      2      3          3      2      3
     106     111   2.0999999999999994E-01   0.0000000000000000E+00      3      2      3          3      3      2
     106     130   0.0000000000000000E+00   0.0000000000000000E+00      3      2      3          4      1      3
     106     135   2.4248711305964277E-01   0.0000000000000000E+00      3      2      3          4      2      2
     107     107  -5.7999999999999774E-01  -1.2850000000000001E-04      3      2      4          3      2      4
     107     112   2.4248711305964277E-01   0.0000000000000000E+00      3      2      4          3      3      3
     107     131   0.0000000000000000E+00   0.0000000000000000E+00      3      2      4          4      1      4
     107     136   2.7999999999999997E-01   0.0000000000000000E+00      3      2      4          4      2      3
     108     108  -3.7999999999999734E-01  -5.0000285000000000E+00      3      2      5          3      2      5
     108     113   2.7110883423451915E-01   0.0000000000000000E+00      3      2      5          3      3      4
     108     132   0.0000000000000000E+00   0.0000000000000000E+00      3      2      5          4      1      5
     108     137   3.1304951684997051E-01   0.0000000000000000E+00      3      2      5          4      2      4
     109     109  -2.0999999999999992E+00  -3.3000000000000003E-05      3      3      0          3      3      0
     109     133   0.0000000000000000E+00   0.0000000000000000E+00      3      3      0          4      2      0
     110     110  -1.8999999999999990E+00  -5.8000000000000000E-05      3      3      1          3      3      1
     110     115   1.3999999999999999E-01   0.0000000000000000E+00      3      3      1          3      4      0
     110     134   0.0000000000000000E+00   0.0000000000000000E+00      3      3      1          4      2      1
     110     139   1.3999999999999999E-01   0.0000000000000000E+00      3      3      1          4      3      0
     111     111  -1.6999999999999984E+00  -8.3000000000000012E-05      3      3      2          3      3      2
     111     116   1.9798989873223330E-01   0.0000000000000000E+00      3      3      2          3      4      1
     111     135   0.0000000000000000E+00   0.0000000000000000E+00      3      3      2          4      2      2
     111     140   1.9798989873223330E-01   0.0000000000000000E+00      3      3      2          4      3      1
     112     112  -1.4999999999999980E+00  -1.0800000000000001E-04      3      3      3          3      3      3
     112     117   2.4248711305964277E-01   0.0000000000000000E+00      3      3      3          3      4      2
     112     136   0.0000000000000000E+00   0.0000000000000000E+00      3      3      3          4      2      3
     112     141   2.4248711305964277E-01   0.0000000000000000E+00      3      3      3          4      3      2
     113     113  -1.2999999999999976E+00  -1.3300000000000001E-04      3      3      4          3      3      4
     113     118   2.7999999999999997E-01   0.0000000000000000E+00      3      3      4          3      4      3
     113     137   0.0000000000000000E+00   0.0000000000000000E+00      3      3      4          4      2      4
     113     142   2.7999999999999997E-01   0.0000000000000000E+00      3      3      4          4      3      3
     114     114  -1.0999999999999970E+00  -5.0000330000000002E+00      3      3      5          3      3      5
     114     119   3.1304951684997051E-01   0.0000000000000000E+00      3      3      5          3      4      4
     114     138   0.0000000000000000E+00   0.0000000000000000E+00      3      3      5          4      2      5
     114     143   3.1304951684997051E-01   0.0000000000000000E+00      3      3      5          4      3      4
     115     115  -3.1299999999999994E+00  -5.0000165000000001E+00      3      4      0          3      4      0
     115     139   0.0000000000000000E+00   0.0000000000000000E+00      3      4      0          4      3      0
     116     116  -2.9299999999999988E+00  -5.0000415000000000E+00      3      4      1          3      4      1
     116     140   0.0000000000000000E+00   0.0000000000000000E+00      3      4      1          4      3      1
     116     145   1.3999999999999999E-01   0.0000000000000000E+00      3      4      1          4      4      0
     117     117  -2.7299999999999982E+00  -5.0000665000000000E+00      3      4      2          3      4      2
     117     141   0.0000000000000000E+00   0.0000000000000000E+00      3      4      2          4      3      2
     117     146   1.9798989873223330E-01   0.0000000000000000E+00      3      4      2          4      4      1
     118     118  -2.5299999999999980E+00  -5.0000914999999999E+00      3      4      3          3      4      3
     118     142   0.0000000000000000E+00   0.0000000000000000E+00      3      4      3          4      3      3
     118     147   2.4248711305964277E-01   0.0000000000000000E+00      3      4      3          4      4      2
     119     119  -2.3299999999999974E+00  -5.0001164999999999E+00      3      4      4          3      4      4
     119     143   0.0000000000000000E+00   0.0000000000000000E+00      3      4      4          4      3      4
     119     148   2.7999999999999997E-01   0.0000000000000000E+00      3      4      4          4      4      3
     120     120  -2.1299999999999968E+00  -1.0000016500000001E+01      3      4      5          3      4      5
     120     144   0.0000000000000000E+00   0.0000000000000000E+00      3      4      5          4      3      5
     120     149   3.1304951684997051E-01   0.0000000000000000E+00      3      4      5          4      4      4
     121     121  -1.7399999999999998E+00  -5.0000000000000000E+00      4      0      0          4      0      0
     122     122  -1.5399999999999994E+00  -5.0000249999999999E+00      4      0      1          4      0      1
     122     127   6.9999999999999993E-02   0.0000000000000000E+00      4      0      1          4      1      0
     123     123  -1.3399999999999990E+00  -5.0000499999999999E+00      4      0      2          4      0      2
     123     128   9.8994949366116650E-02   0.0000000000000000E+00      4      0      2          4      1      1
     124     124  -1.1399999999999983E+00  -5.0000749999999998E+00      4      0      3          4      0      3
     124     129   1.2124355652982138E-01   0.0000000000000000E+00      4      0      3          4      1      2
     125     125  -9.3999999999999795E-01  -5.0000999999999998E+00      4      0      4          4      0      4
     125     130   1.3999999999999999E-01   0.0000000000000000E+00      4      0      4          4      1      3
     126     126  -7.3999999999999744E-01  -1.0000000000000000E+01      4      0      5          4      0      5
     126     131   1.5652475842498526E-01   0.0000000000000000E+00      4      0      5          4      1      4
     127     127  -1.8399999999999996E+00  -5.0000060000000000E+00      4      1      0          4      1      0
     128     128  -1.6399999999999992E+00  -5.0000309999999999E+00      4      1      1          4      1      1
     128     133   9.8994949366116650E-02   0.0000000000000000E+00      4      1      1          4      2      0
     129     129  -1.4399999999999988E+00  -5.0000559999999998E+00      4      1      2          4      1      2
     129     134   1.3999999999999999E-01   0.0000000000000000E+00      4      1      2          4      2      1
     130     130  -1.2399999999999982E+00  -5.0000809999999998E+00      4      1      3          4      1      3
     130     135   1.7146428199482242E-01   0.0000000000000000E+00      4      1      3          4      2      2
     131     131  -1.0399999999999978E+00  -5.0001059999999997E+00      4      1      4          4      1      4
     131     136   1.9798989873223330E-01   0.0000000000000000E+00      4      1      4          4      2      3
     132     132  -8.3999999999999730E-01  -1.0000005999999999E+01      4      1      5          4      1      5
     132     137   2.2135943621178653E-01   0.0000000000000000E+00      4      1      5          4      2      4
     133     133  -2.2499999999999996E+00  -5.0000119999999999E+00      4      2      0          4      2      0
     134     134  -2.0499999999999989E+00  -5.0000369999999998E+00      4      2      1          4      2      1
     134     139   1.2124355652982138E-01   0.0000000000000000E+00      4      2      1          4      3      0
     135     135  -1.8499999999999988E+00  -5.0000619999999998E+00      4      2      2          4      2      2
     135     140   1.7146428199482242E-01   0.0000000000000000E+00      4      2      2          4      3      1
     136     136  -1.6499999999999981E+00  -5.0000869999999997E+00      4      2      3          4      2      3
     136     141   2.0999999999999994E-01   0.0000000000000000E+00      4      2      3          4      3      2
     137     137  -1.4499999999999977E+00  -5.0001119999999997E+00      4      2      4          4      2      4
     137     142   2.4248711305964277E-01   0.0000000000000000E+00      4      2      4          4      3      3
     138     138  -1.2499999999999973E+00  -1.0000012000000000E+01      4      2      5          4      2      5
     138     143   2.7110883423451915E-01   0.0000000000000000E+00      4      2      5          4      3      4
     139     139  -2.9699999999999993E+00  -5.0000165000000001E+00      4      3      0          4      3      0
     140     140  -2.7699999999999991E+00  -5.0000415000000000E+00      4      3      1          4      3      1
     140     145   1.3999999999999999E-01   0.0000000000000000E+00      4      3      1          4      4      0
     141     141  -2.5699999999999985E+00  -5.0000665000000000E+00      4      3      2          4      3      2
     141     146   1.9798989873223330E-01   0.0000000000000000E+00      4      3      2          4      4      1
     142     142  -2.3699999999999979E+00  -5.0000914999999999E+00      4      3      3          4      3      3
     142     147   2.4248711305964277E-01   0.0000000000000000E+00      4      3      3          4      4      2
     143     143  -2.1699999999999977E+00  -5.0001164999999999E+00      4      3      4          4      3      4
     143     148   2.7999999999999997E-01   0.0000000000000000E+00      4      3      4          4      4      3
     144     144  -1.9699999999999971E+00  -1.0000016500000001E+01      4      3      5          4      3      5
     144     149   3.1304951684997051E-01   0.0000000000000000E+00      4      3      5          4      4      4
     145     145  -3.9999999999999991E+00  -1.0000000000000000E+01      4      4      0          4      4      0
     146     146  -3.7999999999999985E+00  -1.0000025000000001E+01      4      4      1          4      4      1
     147     147  -3.5999999999999983E+00  -1.0000050000000000E+01      4      4      2          4      4      2
     148     148  -3.3999999999999977E+00  -1.0000075000000001E+01      4      4      3          4      4      3
     149     149  -3.1999999999999971E+00  -1.0000100000000000E+01      4      4      4          4      4      4
     150     150  -2.9999999999999969E+00  -1.5000000000000000E+01      4      4      5          4      4      5
