# generated by tm_en_gh [RWA]; det_c =  200.000 MHz, det_1 =    0.000 MHz, det_2 = -100.000 MHz, alpha_1 =  -290.00 MHz, alpha_2 =  -310.00 MHz, J_qubit =     0.00 MHz, g_1 =    70.00 MHz, g_2 =    70.00 MHz, gamma_1 =     0.01 MHz, gamma_2 =     0.01 MHz, kappa =     0.05 MHz
#    row  column           Re.value [GHz]           Im.value [GHz]      i,  j,  n (row)          i,  j,  n (col)
      22      27   2.4248711305964277E-01   0.0000000000000000E+00      0      3      3          0      4      2
      22      46   0.0000000000000000E+00   0.0000000000000000E+00      0      3      3          1      2      3
      22      51   1.2124355652982138E-01   0.0000000000000000E+00      0      3      3          1      3      2
      23      23  -4.2999999999999761E-01  -1.1650000000000001E-04      0      3      4          0      3      4
      23      28   2.7999999999999997E-01   0.0000000000000000E+00      0      3      4          0      4      3
      23      47   0.0000000000000000E+00   0.0000000000000000E+00      0      3      4          1      2      4
      23      52   1.3999999999999999E-01   0.0000000000000000E+00      0      3      4          1      3      3
      24      24  -2.2999999999999712E-01  -5.0000165000000001E+00      0      3      5          0      3      5
      24      29   3.1304951684997051E-01   0.0000000000000000E+00      0      3      5          0      4      4
      24      48   0.0000000000000000E+00   0.0000000000000000E+00      0      3      5          1      2      5
      24      53   1.5652475842498526E-01   0.0000000000000000E+00      0      3      5          1      3      4
      25      25  -2.2599999999999993E+00  -5.0000000000000000E+00      0      4      0          0      4      0
      25      49   0.0000000000000000E+00   0.0000000000000000E+00      0      4      0          1      3      0
      26      26  -2.0599999999999987E+00  -5.0000249999999999E+00      0      4      1          0      4      1
      26      50   0.0000000000000000E+00   0.0000000000000000E+00      0      4      1          1      3      1
      26      55   6.9999999999999993E-02   0.0000000000000000E+00      0      4      1          1      4      0
      27      27  -1.8599999999999983E+00  -5.0000499999999999E+00      0      4      2          0      4      2
      27      51   0.0000000000000000E+00   0.0000000000000000E+00      0      4      2          1      3      2
      27      56   9.8994949366116650E-02   0.0000000000000000E+00      0      4      2          1      4      1
      28      28  -1.6599999999999979E+00  -5.0000749999999998E+00      0      4      3          0      4      3
      28      52   0.0000000000000000E+00   0.0000000000000000E+00      0      4      3          1      3      3
      28      57   1.2124355652982138E-01   0.0000000000000000E+00      0      4      3          1      4      2
      29      29  -1.4599999999999973E+00  -5.0000999999999998E+00      0      4      4          0      4      4
      29      53   0.0000000000000000E+00   0.0000000000000000E+00      0      4      4          1      3      4
      29      58   1.3999999999999999E-01   0.0000000000000000E+00      0      4      4          1      4      3
      30      30  -1.2599999999999969E+00  -1.0000000000000000E+01      0      4      5          0      4      5
      30      54   0.0000000000000000E+00   0.0000000000000000E+00      0      4      5          1      3      5
      30      59   1.5652475842498526E-01   0.0000000000000000E+00      0      4      5          1      4      4
      31      31   0.0000000000000000E+00  -6.0000000000000002E-06      1      0      0          1      0      0
      32      32   2.0000000000000048E-01  -3.1000000000000001E-05      1      0      1          1      0      1
      32      37   6.9999999999999993E-02   0.0000000000000000E+00      1      0      1          1      1      0
      32      61   9.8994949366116650E-02   0.0000000000000000E+00      1      0      1          2      0      0
      33      33   4.0000000000000097E-01  -5.6000000000000006E-05      1      0      2          1      0      2
      33      38   9.8994949366116650E-02   0.0000000000000000E+00      1      0      2          1      1      1
      33      62   1.3999999999999999E-01   0.0000000000000000E+00      1      0      2          2      0      1
      34      34   6.0000000000000142E-01  -8.1000000000000004E-05      1      0      3          1      0      3
      34      39   1.2124355652982138E-01   0.0000000000000000E+00      1      0      3          1      1      2
      34      63   1.7146428199482242E-01   0.0000000000000000E+00      1      0      3          2      0      2
      35      35   8.0000000000000193E-01  -1.0600000000000000E-04      1      0      4          1      0      4
      35      40   1.3999999999999999E-01   0.0000000000000000E+00      1      0      4          1      1      3
      35      64   1.9798989873223330E-01   0.0000000000000000E+00      1      0      4          2      0      3
      36      36   1.0000000000000024E+00  -5.0000060000000000E+00      1      0      5          1      0      5
      36      41   1.5652475842498526E-01   0.0000000000000000E+00      1      0      5          1      1      4
      36      65   2.2135943621178653E-01   0.0000000000000000E+00      1      0      5          2      0      4
      37      37  -9.9999999999999895E-02  -1.2000000000000000E-05      1      1      0          1      1      0
      37      61   0.0000000000000000E+00   0.0000000000000000E+00      1      1      0          2      0      0
      38      38   1.0000000000000059E-01  -3.7000000000000005E-05      1      1      1          1      1      1
      38      43   9.8994949366116650E-02   0.0000000000000000E+00      1      1      1          1      2      0
      38      62   0.0000000000000000E+00   0.0000000000000000E+00      1      1      1          2      0      1
      38      67   9.8994949366116650E-02   0.0000000000000000E+00      1      1      1          2      1      0
      39      39   3.0000000000000104E-01  -6.2000000000000003E-05      1      1      2          1      1      2
      39      44   1.3999999999999999E-01   0.0000000000000000E+00      1      1      2          1      2      1
