# Diagonalized drift Hamiltonian (for debugging)
# generated by tm_en_logical_eigenstates
#          level             energy [GHz]   closest level, i,j,n           abs(<v|ijn>)^2
       1       1  -4.0346952087593655E+00     145    4    4    0   9.6939725164237778E-01
       2       2  -3.8687747936202084E+00     146    4    4    1   9.4100790644860832E-01
       3       3  -3.7022674613441873E+00     147    4    4    2   9.1460980183927099E-01
       4       4  -3.5346905604087189E+00     148    4    4    3   8.9129381598819202E-01
       5       5  -3.3512015488051681E+00     149    4    4    4   8.9518839179058696E-01
       6       6  -3.1668426049516869E+00     115    3    4    0   9.5074565641497577E-01
       7       7  -3.0027414046042162E+00     139    4    3    0   9.5644756706170286E-01
       8       8  -2.9999999999999969E+00     150    4    4    5   1.0000000000000000E+00
       9       9  -2.9829915148950530E+00     116    3    4    1   8.9699427701362844E-01
      10      10  -2.8208541467848791E+00     140    4    3    1   9.1488444375021227E-01
      11      11  -2.7992446519896341E+00     117    3    4    2   8.4731076714355380E-01
      12      12  -2.6388508879365884E+00     141    4    3    2   8.7589025920153418E-01
      13      13  -2.6147403746843607E+00     118    3    4    3   8.0433137611377303E-01
      14      14  -2.5869831231307328E+00      85    2    4    0   9.4374398851698849E-01
      15      15  -2.4561639122997878E+00     142    4    3    3   8.4114684837031550E-01
      16      16  -2.4109659242688792E+00     119    3    4    4   8.1283771987730724E-01
      17      17  -2.4037388869092866E+00      86    2    4    1   8.6955423970357348E-01
      18      18  -2.2999089755814279E+00      55    1    4    0   8.8494444813176754E-01
      19      19  -2.2865729742911407E+00     133    4    2    0   9.4274789743719667E-01
      20      20  -2.2759672935035695E+00      25    0    4    0   9.8701856454805303E-01
      21      21  -2.2576333535624915E+00     143    4    3    4   8.3872771692343240E-01
      22      22  -2.2201585132211226E+00      87    2    4    2   8.0154867249185457E-01
      23      23  -2.1322365648330970E+00     109    3    3    0   9.4412909893855868E-01
      24      24  -2.1168558082254583E+00      56    1    4    1   7.5850144097711836E-01
      25      25  -2.1043248353740904E+00     134    4    2    1   8.8551473757231036E-01
      26      26  -2.0810378096242119E+00     120    3    4    5   8.2041208279085276E-01
      27      27  -2.0678084348097308E+00      26    0    4    1   8.7465374363921200E-01
      28      28  -2.0349677764338923E+00      88    2    4    3   7.4476591865948694E-01
      29      29  -1.9342873715485025E+00     110    3    3    1   5.0183982536767058E-01
      30      30  -1.9312220433647669E+00     110    3    3    1   3.8778960093556081E-01
      31      31  -1.9217482353674000E+00     135    4    2    2   8.3219127544368532E-01
      32      32  -1.8753105618769741E+00     127    4    1    0   9.2935481712906998E-01
      33      33  -1.8677606415706105E+00     144    4    3    5   7.9449508985781048E-01
      34      34  -1.8612382794800950E+00      27    0    4    2   7.9189696384512931E-01
      35      35  -1.8262412923214597E+00      89    2    4    4   7.5591953174746263E-01
      36      36  -1.7583853422721512E+00     121    4    0    0   9.8276093849728874E-01
      37      37  -1.7466504108741243E+00      58    1    4    3   5.8084315863748015E-01
      38      38  -1.7378775475369428E+00     136    4    2    3   7.8640337377852465E-01
      39      39  -1.7339237865040003E+00     111    3    3    2   8.1640939671215296E-01
      40      40  -1.6925986711965750E+00     128    4    1    1   8.4468101453354438E-01
      41      41  -1.6557889616052290E+00      28    0    4    3   7.2718254234077262E-01
      42      42  -1.5596661835653667E+00     122    4    0    1   9.0884994466487345E-01
      43      43  -1.5573150867067278E+00      79    2    3    0   9.2171163972252523E-01
      44      44  -1.5374167346557579E+00     112    3    3    3   5.5171464004121695E-01
      45      45  -1.5333859017350371E+00     137    4    2    4   7.9753102429962541E-01
      46      46  -1.5292642207991820E+00      59    1    4    4   4.3468438176429303E-01
      47      47  -1.5091387784546397E+00     129    4    1    2   7.7089907851575334E-01
      48      48  -1.4786881988111280E+00      90    2    4    5   9.0299889870958649E-01
      49      49  -1.4496658426377271E+00      29    0    4    4   6.8052018739508302E-01
      50      50  -1.4120107459820626E+00     103    3    2    0   9.3935982116971661E-01
      51      51  -1.3612144533857524E+00     123    4    0    2   8.5174417294276827E-01
      52      52  -1.3582078717091879E+00      80    2    3    1   8.3507334313703985E-01
      53      53  -1.3243352143448517E+00     130    4    1    3   7.0893010767162934E-01
      54      54  -1.3202882051887943E+00     113    3    3    4   7.5411629697994120E-01
      55      55  -1.2683921107206637E+00      49    1    3    0   8.9157395125732941E-01
      56      56  -1.2460413811652247E+00      19    0    3    0   9.8249000043526280E-01
      57      57  -1.2125093929212907E+00     104    3    2    1   8.6869969488506993E-01
      58      58  -1.1989579142452753E+00     138    4    2    5   8.8042063930537795E-01
      59      59  -1.1845658359513711E+00      30    0    4    5   7.8532173501856883E-01
      60      60  -1.1833275771025447E+00      60    1    4    5   8.6565338553089743E-01
      61      61  -1.1629469173029359E+00     124    4    0    3   8.0318859044443869E-01
      62      62  -1.1592078332786069E+00      81    2    3    2   7.5739664538331108E-01
      63      63  -1.1165884034476954E+00     131    4    1    4   7.2944402886656601E-01
      64      64  -1.0693210810341178E+00      50    1    3    1   7.6416241749608282E-01
      65      65  -1.0239178340677833E+00      20    0    3    1   8.6698615610064944E-01
      66      66  -1.0132637156836135E+00     105    3    2    2   8.0363938556825243E-01
      67      67  -1.0056402700040552E+00      97    3    1    0   9.1875913684616306E-01
      68      68  -9.6234687530510754E-01     125    4    0    4   7.5395508154136370E-01
      69      69  -9.5872207133565079E-01      82    2    3    3   6.8088012624080130E-01
      70      70  -9.1906404870349456E-01     114    3    3    5   7.9671140547261243E-01
      71      71  -8.8901181817284802E-01      91    3    0    0   9.7519394930176873E-01
      72      72  -8.6948454092188976E-01      51    1    3    2   6.6059250571775319E-01
      73      73  -8.3328257435250130E-01      73    2    2    0   9.2829854110476140E-01
      74      74  -8.1328317901236680E-01     106    3    2    3   7.4764367402936172E-01
      75      75  -8.0533252812072487E-01      98    3    1    1   7.9552115776002397E-01
      76      76  -8.0331341270561074E-01      21    0    3    2   7.5635042823341181E-01
      77      77  -7.8169789234112086E-01     132    4    1    5   9.0608771116361164E-01
      78      78  -7.3348419148990573E-01      83    2    3    4   7.1475423946064964E-01
      79      79  -6.8660185262217099E-01     126    4    0    5   8.5302095396055544E-01
      80      80  -6.7380883435763783E-01      92    3    0    1   8.9086544466496886E-01
      81      81  -6.6817579167798247E-01      52    1    3    3   5.7853415379160766E-01
      82      82  -6.3414408378454379E-01      74    2    2    1   8.3932822047075872E-01
      83      83  -6.0487781774095750E-01      99    3    1    2   7.2872357986351788E-01
      84      84  -5.9242853409126328E-01     107    3    2    4   7.3117581980096780E-01
      85      85  -5.8405195910655738E-01      22    0    3    3   7.0461261730659863E-01
      86      86  -5.4995313885514141E-01      43    1    2    0   8.6599648199263046E-01
      87      87  -5.2624052353397455E-01      13    0    2    0   9.7271330149114899E-01
