U = [
{ 7.13952222E-01, 1.09411769E-01}(-4.66536514E-01,-1.72007700E-02)( 3.49088012E-01, 3.30299455E-01)( 1.46723441E-01,-4.93946143E-02)
(-2.46400141E-01, 4.13830994E-01){-3.19420198E-01,-1.55813542E-01}( 5.30723950E-01,-5.51545061E-01)(-2.04268834E-01,-8.75935036E-02)
(-2.46232817E-01,-1.67118420E-01)(-5.75611558E-01, 1.07178624E-01){-2.27945509E-01, 3.06546480E-01}(-6.44085633E-01, 1.25103421E-03)
(-1.66844545E-01, 3.52675519E-01)(-1.16650028E-02, 5.53650907E-01)(-7.77613650E-02, 1.56449749E-01){ 1.76079232E-01,-6.87022662E-01}
]
