# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   5.41427   5.57621
   5.95000   6.20000
   6.62000   7.10000
   5.66185   5.67715
   6.30000   7.10000
   6.45000   6.50000
   6.10000   5.90000
   5.65486   5.99962
   6.75000   8.10000
   6.75000   9.10000
   5.90000   6.60000
   6.25000   5.90000
   6.70456   5.96171
   6.40000   5.60000
   5.26109   6.00427
   6.50000   6.20000
   5.22207   5.67117
   6.25027   8.82652
   6.58000   4.50000
   5.67798   9.28270
   6.62000   6.10000
   6.35000   5.60000
   5.85000   5.70000
   6.44859   5.85284
   5.79574  10.30339
   5.95000   6.30000
   6.29000   8.10000
   6.24706   7.56085
   6.20000   8.10000
   6.84049   6.90015
   5.01947   5.42009
   6.00000   7.60000
   5.85000   5.60000
   5.95000   6.10000
   6.45000   6.30000
   6.15000   5.80000
   6.84983   5.88846
   5.50000   6.40000
   5.70000   7.10000
   5.50000   5.80000
   6.15000   5.90000
   5.50000   8.60000
   6.26404   9.62676
   6.20556   5.53873
   6.31000   6.30000
   6.31676   6.29394
   5.00000   6.30000
   5.60000   5.80000
   6.00000   5.60000
   5.99268   4.83657
   6.00000   4.50000
   6.25000   6.00000
   7.25000  10.10000
   7.00000   5.00000
   5.96024   4.51681
   5.65000   5.60000
   5.65000   5.50000
   6.19269   6.40866
   6.29000   5.80000
   5.85000   5.50000
   6.30000   5.80000
   6.29000   5.00000
   6.35000   6.10000
   6.27116   7.37219
   6.69644   6.20430
   5.90000   5.50000
   5.70000   6.20000
   5.90000   7.10000
   6.29000   6.10000
   6.58000  11.10000
   7.46309   7.09232
   5.55000   6.20000
   6.28988   9.15049
   6.00037   7.92011
   5.61938   5.18584
   6.75000   6.60000
   6.04592   9.28059
   6.57304   6.53369
   6.37775   6.13669
   5.95000   6.00000
   5.63125   5.77660
   5.79135   6.91035
   6.44589   6.43095
   5.80000   7.10000
   6.50000   8.60000
   6.75000  10.10000
   6.29000   6.60000
   5.75000   5.90000
   7.00000   5.80000
   5.94180   5.90543
   5.90000   6.20000
   6.00000   8.60000
   6.40000   5.50000
   5.13680   5.13033
   5.50000   6.00000
   6.29820   9.97451
   5.69889   6.87943
   5.60000   6.00000
   5.90000   6.40000
   6.52868   6.19191
   5.00000  10.10000
   6.25000   5.70000
   6.00000   5.90000
   6.20000   7.60000
   6.25990   6.30914
   6.20000   5.90000
   6.31000   6.10000
   5.50000   8.10000
   6.40000   5.90000
   6.26708   4.49880
   7.25000   7.60000
   6.00000   6.10000
   7.50000   7.60000
   6.10000   5.80000
   6.31000   8.60000
   7.50000   4.50000
   5.70000   5.70000
   6.50000   4.50000
   5.50000   5.70000
   5.90000   5.00000
   5.68583   6.92310
   5.55000   6.30000
   5.99738   6.89064
   5.13184   6.01917
   6.32041   6.00124
   7.50000   6.10000
   6.55905   6.52478
   6.58000   7.10000
   5.70132   8.60278
   5.66800   5.13136
   6.05000   6.02500
   6.35000  11.10000
   5.80000   6.40000
   5.80000   5.50000
   6.01390   9.98855
   6.20000   5.50000
   6.50000   5.00000
   6.35000  10.10000
   5.90000   5.80000
   6.58000   5.00000
   5.50306   5.78529
   6.96888   6.01894
   6.10000   6.20000
   6.59593   9.17797
   6.31960   8.06903
   5.70000   5.00000
   6.36102   6.19750
   7.50000   7.10000
   5.50000   5.90000
   6.50000   6.40000
   6.62000   9.10000
   6.50000   6.50000
   6.29000   9.10000
   6.04447   6.04410
   6.50000   6.10000
   6.40000   6.20000
   6.75000   7.60000
   6.10000  10.10000
   6.75000   5.80000
   5.97881   6.55294
   7.50000   5.00000
   6.30000   5.50000
   5.65668  10.99323
   6.62000   6.30000
   5.80000   5.80000
   5.90000   6.50000
   6.30000   5.60000
   6.10000   6.60000
   6.84992   5.99703
   7.25000   8.10000
   6.32253   5.87468
   6.25000   6.30000
   5.95000   5.50000
   5.90000   6.00000
   6.45000   5.90000
   5.80000  10.10000
   6.50000   5.70000
   6.58000   6.60000
   6.35000   5.90000
   7.49858   6.00731
   5.80000   8.10000
   7.37013   7.35974
   6.68431   7.52720
   5.85549   6.02758
   6.31077   8.26710
   6.20000  10.10000
   6.58000   8.60000
   5.00000   7.60000
   5.70000   7.60000
   5.35868   5.50377
   6.10000   4.50000
   4.99760   5.99601
   6.38640   4.84798
   6.38518   8.35275
   5.00000   4.50000
   6.62000   8.60000
   5.60318   5.83890
   5.90000   5.60000
   5.60000   5.50000
   6.00126   5.48834
   6.30000   9.10000
   5.80000   6.20000
   5.55000   6.10000
   6.29000  11.10000
   5.65000   5.90000
   5.60000   6.40000
   6.15000   5.50000
   7.50000   8.10000
   5.70000   5.60000
   7.24111   7.22311
   5.96712   5.19494
   5.96952   8.26218
   5.75453   6.53453
   6.20000   6.40000
   5.57603   5.43607
   7.00000   8.10000
   7.00000   6.10000
   5.90000  10.10000
   5.55000   5.80000
   5.97363   8.94001
   6.86203   6.72885
   5.55000   6.00000
   6.35000   7.10000
   6.30000   5.90000
   7.50484   7.52977
   6.14556   6.06643
   6.20000   6.60000
   5.71550  10.65336
   6.62000  10.10000
   6.45593   5.98313
   5.73318   5.81969
   6.75000   6.10000
   5.96006   9.62604
   6.25000   6.20000
   6.25000   6.40000
   6.06517   7.06958
   5.60000   6.20000
   6.10000   6.50000
   7.33209   7.26260
   6.58000   7.60000
   5.70000   8.40000
   6.00000   6.00000
   6.30000   5.70000
   5.80000   5.60000
   6.30000  10.10000
   5.85000   6.40000
   7.25000  11.10000
   7.00000   7.60000
   5.70000   6.40000
   6.45000   5.50000
   5.80000   5.90000
   5.80000   9.10000
   6.40000   6.50000
   6.25373   8.95094
   5.79248   5.97877
   5.75000   5.80000
   6.00000   6.20000
   6.35000   7.60000
   5.60000   6.10000
   6.05000   5.90000
   6.00165   5.53175
   7.10314   7.07940
   5.93016   5.90099
   6.20000   8.60000
   6.05277   6.29419
   5.52404   5.52252
   7.10072   5.99996
   6.15000   6.00000
   5.65000   5.70000
   6.40000   5.80000
   5.95828   7.62161
   5.50000   6.60000
   5.50000   6.30000
   5.70000   4.50000
   6.36206   6.54922
   5.66272   5.52314
   6.26886   7.03476
   6.75000   4.50000
   5.00000  11.10000
   5.70000   8.60000
   6.42689   7.23687
   7.25000   4.50000
   7.25000   8.60000
   5.80000   5.70000
   6.00000   5.50000
   6.50000   9.10000
   5.70000   6.10000
   6.50000   5.90000
   6.30000   6.40000
   6.10000   8.10000
   5.65000   6.10000
   5.96961   8.12616
   6.78583   6.41420
   5.85000   5.80000
   5.70000   5.80000
