# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   4.99760   5.99601
   5.13184   6.01917
   5.26109   6.00427
   5.39420   6.03701
   5.52389   5.99574
   5.65486   5.99962
   5.79248   5.97877
   5.92678   5.94726
   6.05637   5.96529
   6.18702   5.98866
   6.32041   6.00124
   6.45593   5.98313
   6.57862   5.97514
   6.70456   5.96171
   6.84992   5.99703
   6.96888   6.01894
   7.10072   5.99996
   7.23152   5.95441
   7.37267   6.04071
   7.49858   6.00731
   5.00240   5.04433
   5.13680   5.13033
   5.26623   5.23272
   5.39832   5.37734
   5.52404   5.52252
   5.66185   5.67715
   5.79877   5.83046
   5.93016   5.90099
   6.04447   6.04410
   6.18916   6.18174
   6.31676   6.29394
   6.44589   6.43095
   6.57304   6.53369
   6.70966   6.76373
   6.84049   6.90015
   6.96686   6.93150
   7.10314   7.07940
   7.24111   7.22311
   7.37013   7.35974
   7.50484   7.52977
   5.96024   4.51681
   5.99268   4.83657
   5.96712   5.19494
   6.00165   5.53175
   6.01164   5.86664
   6.00708   6.21902
   5.97881   6.55294
   5.99738   6.89064
   5.96620   7.22875
   5.99782   7.57837
   6.00037   7.92011
   5.96952   8.26218
   5.96087   8.60947
   5.97363   8.94001
   6.04592   9.28059
   5.96006   9.62604
   6.01390   9.98855
   6.04729  10.33193
   5.99126  10.65795
   5.97507  10.97992
   6.26708   4.49880
   6.38640   4.84798
   6.36542   5.17031
   6.20556   5.53873
   6.32253   5.87468
   6.36102   6.19750
   6.36206   6.54922
   6.31075   6.89410
   6.42689   7.23687
   6.24706   7.56085
   6.29558   7.92043
   6.31077   8.26710
   6.34064   8.59367
   6.25373   8.95094
   6.28168   9.28559
   6.26404   9.62676
   6.29820   9.97451
   6.29100  10.32730
   6.36875  10.66211
   6.31867  10.98449
   5.65122   4.50732
   5.67198   4.83539
   5.61938   5.18584
   5.66272   5.52314
   5.67789   5.88926
   5.65276   6.21749
   5.71178   6.55324
   5.69889   6.87943
   5.63069   7.24186
   5.62321   7.58958
   5.61902   7.92226
   5.68098   8.26023
   5.70132   8.60278
   5.73612   8.95699
   5.67798   9.28270
   5.68085   9.63168
   5.66563   9.96251
   5.79574  10.30339
   5.71550  10.65336
   5.65668  10.99323
   6.56112   4.48960
   6.59865   4.81011
   6.66334   5.18834
   6.64018   5.49784
   6.44859   5.85284
   6.52868   6.19191
   6.55905   6.52478
   6.62245   6.84592
   6.57557   7.15942
   6.68431   7.52720
   5.01947   5.42009
   5.11518   5.72646
   5.22207   5.67117
   5.30322   5.82878
   5.41427   5.57621
   5.50306   5.78529
   5.63125   5.77660
   5.73318   5.81969
   5.85549   6.02758
   5.94180   5.90543
   6.03750   5.94142
   6.14556   6.06643
   6.25990   6.30914
   6.37775   6.13669
   6.45997   6.05246
   6.56384   6.33871
   6.69644   6.20430
   6.78583   6.41420
   6.88723   6.38451
   7.00923   6.48479
   5.00000   5.00000
   5.00000   5.80000
   5.00000   6.10000
   5.00000   6.30000
   5.00000   6.60000
   5.00000   7.10000
   5.00000   7.60000
   5.00000   8.10000
   5.00000   8.60000
   5.00000   9.10000
   5.00000  10.10000
   5.00000  11.10000
   5.50000   5.00000
   5.50000   5.80000
   5.50000   6.10000
   5.50000   6.30000
   5.50000   6.60000
   5.50000   7.10000
   5.50000   7.60000
   5.50000   8.10000
   5.50000   8.60000
   5.50000   9.10000
   5.50000  10.10000
   5.50000  11.10000
   5.70000   5.00000
   5.70000   5.80000
   5.70000   6.10000
   5.70000   6.30000
   5.70000   6.60000
   5.70000   7.10000
   5.70000   7.60000
   5.70000   8.10000
   5.70000   8.60000
   5.70000   9.10000
   5.70000  10.10000
   5.70000  11.10000
   5.80000   5.00000
   5.80000   5.80000
   5.80000   6.10000
   5.80000   6.30000
   5.80000   6.60000
   5.80000   7.10000
   5.80000   7.60000
   5.80000   8.10000
   5.80000   8.60000
   5.80000   9.10000
   5.80000  10.10000
   5.80000  11.10000
   5.90000   5.00000
   5.90000   5.80000
   5.90000   6.10000
   5.90000   6.30000
   5.90000   6.60000
   5.90000   7.10000
   5.90000   7.60000
   5.90000   8.10000
   5.90000   8.60000
   5.90000   9.10000
   5.90000  10.10000
   5.90000  11.10000
   6.00000   5.00000
   6.00000   5.80000
   6.00000   6.10000
   6.00000   6.30000
   6.00000   6.60000
   6.00000   7.10000
   6.00000   7.60000
   6.00000   8.10000
   6.00000   8.60000
   6.00000   9.10000
   6.00000  10.10000
   6.00000  11.10000
   6.10000   5.00000
   6.10000   5.80000
   6.10000   6.10000
   6.10000   6.30000
   6.10000   6.60000
   6.10000   7.10000
   6.10000   7.60000
   6.10000   8.10000
   6.10000   8.60000
   6.10000   9.10000
   6.10000  10.10000
   6.10000  11.10000
   6.20000   5.00000
   6.20000   5.80000
   6.20000   6.10000
   6.20000   6.30000
   6.20000   6.60000
   6.20000   7.10000
   6.20000   7.60000
   6.20000   8.10000
   6.20000   8.60000
   6.20000   9.10000
   6.20000  10.10000
   6.20000  11.10000
   6.29000   5.00000
   6.29000   5.80000
   6.29000   6.10000
   6.29000   6.30000
   6.29000   6.60000
   6.29000   7.10000
   6.29000   7.60000
   6.29000   8.10000
   6.29000   8.60000
   6.29000   9.10000
   6.29000  10.10000
   6.29000  11.10000
   6.30000   5.00000
   6.30000   5.80000
   6.30000   6.10000
   6.30000   6.30000
   6.30000   6.60000
   6.30000   7.10000
   6.30000   7.60000
   6.30000   8.10000
   6.30000   8.60000
   6.30000   9.10000
   6.30000  10.10000
   6.30000  11.10000
   6.31000   5.00000
   6.31000   5.80000
   6.31000   6.10000
   6.31000   6.30000
   6.31000   6.60000
   6.31000   7.10000
   6.31000   7.60000
   6.31000   8.10000
   6.31000   8.60000
   6.31000   9.10000
   6.31000  10.10000
   6.31000  11.10000
   6.35000   5.00000
   6.35000   5.80000
   6.35000   6.10000
   6.35000   6.30000
   6.35000   6.60000
   6.35000   7.10000
   6.35000   7.60000
   6.35000   8.10000
   6.35000   8.60000
   6.35000   9.10000
   6.35000  10.10000
   6.35000  11.10000
   6.50000   5.00000
   6.50000   5.80000
   6.50000   6.10000
   6.50000   6.30000
   6.50000   6.60000
   6.50000   7.10000
   6.50000   7.60000
   6.50000   8.10000
   6.50000   8.60000
   6.50000   9.10000
   6.50000  10.10000
   6.50000  11.10000
   6.58000   5.00000
   6.58000   5.80000
   6.58000   6.10000
   6.58000   6.30000
   6.58000   6.60000
   6.58000   7.10000
   6.58000   7.60000
   6.58000   8.10000
   6.58000   8.60000
   6.58000   9.10000
   6.58000  10.10000
   6.58000  11.10000
   6.62000   5.00000
   6.62000   5.80000
   6.62000   6.10000
   6.62000   6.30000
   6.62000   6.60000
   6.62000   7.10000
   6.62000   7.60000
   6.62000   8.10000
   6.62000   8.60000
   6.62000   9.10000
   6.62000  10.10000
   6.62000  11.10000
   6.75000   5.00000
   6.75000   5.80000
   6.75000   6.10000
   6.75000   6.30000
   6.75000   6.60000
   6.75000   7.10000
   6.75000   7.60000
   6.75000   8.10000
   6.75000   8.60000
   6.75000   9.10000
   6.75000  10.10000
   6.75000  11.10000
   7.00000   5.00000
   7.00000   5.80000
   7.00000   6.10000
   7.00000   6.30000
   7.00000   6.60000
   7.00000   7.10000
   7.00000   7.60000
   7.00000   8.10000
   7.00000   8.60000
   7.00000   9.10000
   7.00000  10.10000
   7.00000  11.10000
   7.25000   5.00000
   7.25000   5.80000
   7.25000   6.10000
   7.25000   6.30000
   7.25000   6.60000
   7.25000   7.10000
   7.25000   7.60000
   7.25000   8.10000
   7.25000   8.60000
   7.25000   9.10000
   7.25000  10.10000
   7.25000  11.10000
   7.50000   5.00000
   7.50000   5.80000
   7.50000   6.10000
   7.50000   6.30000
   7.50000   6.60000
   7.50000   7.10000
   7.50000   7.60000
   7.50000   8.10000
   7.50000   8.60000
   7.50000   9.10000
   7.50000  10.10000
   7.50000  11.10000
   5.00000   4.50000
   5.50000   4.50000
   5.70000   4.50000
   5.80000   4.50000
   5.90000   4.50000
   6.00000   4.50000
   6.10000   4.50000
   6.20000   4.50000
   6.29000   4.50000
   6.30000   4.50000
   6.31000   4.50000
   6.35000   4.50000
   6.50000   4.50000
   6.58000   4.50000
   6.62000   4.50000
   6.75000   4.50000
   7.00000   4.50000
   7.25000   4.50000
   7.50000   4.50000
   6.19269   6.40866
   6.87286   6.30343
   6.30763   6.09423
   5.22182   5.21063
   6.68216   6.18954
   5.60318   5.83890
   6.84983   5.88846
   5.50791   5.88190
   5.73713   5.32502
   6.78920   7.02260
   5.35868   5.50377
   7.33209   7.26260
   6.23563   6.00890
   5.42505   5.60262
   6.86203   6.72885
   7.46309   7.09232
   6.10481   9.01084
   6.26886   7.03476
   5.99644   5.32461
   6.59593   9.17797
   6.14196   5.38035
   6.35338   8.63173
   6.27118   5.83324
   6.00126   5.48834
   6.31785   5.70871
   6.27116   7.37219
   6.38518   8.35275
   6.25027   8.82652
   6.28988   9.15049
   6.21014   8.09837
   6.31960   8.06903
   6.17909  10.42998
   5.79135   6.91035
   5.52252  10.17670
   5.68583   6.92310
   5.66800   5.13136
   5.93857   6.64168
   5.57603   5.43607
   5.59530   8.29164
   5.75453   6.53453
   5.96778   8.34544
   5.88605   6.20481
   5.96961   8.12616
   6.05277   6.29419
   5.95828   7.62161
   5.97512   8.18796
   6.06517   7.06958
   6.02428   6.56111
   5.60000   5.70000
   5.65000   5.75000
   5.70000   5.90000
   5.75000   5.90000
   6.00000   5.80000
   6.00000   5.90000
   6.05000   6.02500
   5.70000   8.40000
