# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   5.95000   5.10000
   5.95000   6.20000
   5.90000   5.70000
   6.38164   6.34628
   5.70500   6.30000
   5.26109   6.00427
   5.71000   8.30000
   7.50000   6.02500
   5.70500   8.50000
   5.67798   9.28270
   6.31500   9.90000
   5.69500   9.50000
   5.79574  10.30339
   6.31000  10.10000
   5.01947   5.42009
   6.00000   7.50000
   6.29500   6.50000
   6.02500   4.50000
   6.29000   7.50000
   6.02500   8.90000
   5.69000   7.30000
   6.31000   9.10000
   5.70500   7.30000
   5.03814   5.00278
   6.31500   8.50000
   6.30500   8.10000
   5.70000   5.50000
   6.29000   7.70000
   6.29000   5.00000
   6.29000   6.70000
   5.90000   8.70000
   6.29000  10.70000
   5.95000   8.50000
   6.58000  10.10000
   5.70000   4.70000
   6.00037   7.92011
   5.69500   6.90000
   6.10000   6.70000
   5.80000   7.10000
   5.71000   6.10000
   6.31500   6.10000
   6.31000   5.90000
   7.00000   6.30000
   5.94180   5.90543
   5.80000  11.10000
   6.05000   4.90000
   6.35000   6.00000
   6.02500   8.30000
   6.52868   6.19191
   6.00000   6.90000
   7.00036   7.00036
   6.31500   6.70000
   5.70500   5.50000
   6.31000   5.10000
   6.00000  10.50000
   5.50000   9.10000
   6.35000  11.10000
   6.05000   5.90000
   5.68500   6.90000
   6.01390   9.98855
   6.50000   5.00000
   6.40000   6.40000
   5.50306   5.78529
   5.69000   6.30000
   6.31960   8.06903
   6.15000   6.40000
   6.31000   9.30000
   6.29000   8.10000
   7.50000   5.97500
   7.35391   7.35391
   5.97881   6.55294
   6.02500   9.50000
   5.71500   7.10000
   6.29500  10.10000
   5.69500   9.70000
   5.70000   5.90000
   6.30500   4.70000
   6.31000  10.50000
   7.25000   8.10000
   5.52389   5.99574
   6.45000   5.90000
   5.70500   6.10000
   5.95000   6.50000
   7.49858   6.00731
   6.68431   7.52720
   5.85549   6.02758
   6.29500   8.50000
   5.70000   9.70000
   5.70000   7.60000
   5.70000   5.30000
   6.10000   6.50000
   6.20000   7.60000
   5.60000   5.80000
   5.69500   5.90000
