# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   6.02500   9.90000
   6.29100  10.32700
   5.85000   6.30000
   6.00000   6.90000
   5.50000   4.50000
   5.90000   6.30000
   5.00000  11.10000
   6.01300   9.98800
   7.00000  10.10000
   5.85000   6.40000
   5.95800   7.62100
   5.97500   5.10000
   5.55000   6.20000
   6.00000   6.50000
   6.50000   9.10000
   6.20000   7.60000
   6.02500   4.50000
   5.70000   8.60000
   5.11500   5.72600
   5.99600   5.32400
   6.05000   6.30000
   6.10000   9.10000
   6.57500   7.15900
   6.02500  10.90000
   5.80000   5.00000
   5.68500   6.92300
   6.28100   9.28500
   6.56100   4.48900
   6.88700   6.38400
   6.58000   7.60000
   6.35300   8.63100
   6.00000   7.90000
   5.96000   4.51600
   5.99700   7.57800
   6.02500   9.10000
   5.80000   6.60000
   7.00000   5.00000
   5.97500   7.70000
   5.97500   8.50000
   5.50000   5.00000
   7.25000   6.30000
   6.00000  10.70000
   6.02500  10.10000
   7.00000   6.30000
