# Fri Mar 25 23:02:49 -0700 2016
# lambda_a =    1.000000E-01; lambda_intens =    0.000000E+00; lambda_b =    0.000000E+00
# it.                 J_T             g_a_int             g_b_int                   J           Delta_J_T             Delta J sec/it
    0  1.716948045290E-01  0.000000000000E+00  0.000000000000E+00  1.716948045290E-01  1.716948045290E-01  1.716948045290E-01      0
    1  1.440865069268E-01  1.019449968214E-02  0.000000000000E+00  1.542810066090E-01 -2.760829760218E-02 -1.741379792005E-02      2
    2  1.238508110218E-01  8.362039070068E-03  0.000000000000E+00  1.322128500919E-01 -2.023569590498E-02 -1.187365683491E-02      2
    3  9.727555233053E-02  1.301717440042E-02  0.000000000000E+00  1.102927267310E-01 -2.657525869130E-02 -1.355808429088E-02      1
    4  6.372901950109E-02  1.588302383739E-02  0.000000000000E+00  7.961204333848E-02 -3.354653282944E-02 -1.766350899205E-02      2
    5  5.141975867699E-02  5.197744666276E-03  0.000000000000E+00  5.661750334327E-02 -1.230926082410E-02 -7.111516157822E-03      2
    6  4.864333914979E-02  1.063187715815E-03  0.000000000000E+00  4.970652686561E-02 -2.776419527201E-03 -1.713231811386E-03      2
    7  4.669151717886E-02  7.675956979849E-04  0.000000000000E+00  4.745911287684E-02 -1.951821970934E-03 -1.184226272949E-03      2
    8  4.486669619648E-02  7.487912640324E-04  0.000000000000E+00  4.561548746051E-02 -1.824820982378E-03 -1.076029718346E-03      1
    9  4.318722650959E-02  7.003317480725E-04  0.000000000000E+00  4.388755825766E-02 -1.679469686889E-03 -9.791379388161E-04      2
   10  4.161528595798E-02  6.640149865604E-04  0.000000000000E+00  4.227930094454E-02 -1.571940551613E-03 -9.079255650526E-04      2
   11  4.015622799444E-02  6.226900241150E-04  0.000000000000E+00  4.077891801856E-02 -1.459057963535E-03 -8.363679394199E-04      2
   12  3.881376253784E-02  5.783914231092E-04  0.000000000000E+00  3.939215396094E-02 -1.342465456607E-03 -7.640740334979E-04      2
   13  3.758919346798E-02  5.320927459533E-04  0.000000000000E+00  3.812128621394E-02 -1.224569069851E-03 -6.924763238978E-04      1
   14  3.647963672786E-02  4.861520094650E-04  0.000000000000E+00  3.696578873732E-02 -1.109556740128E-03 -6.234047306626E-04      2
   15  3.548190598128E-02  4.407464048347E-04  0.000000000000E+00  3.592265238611E-02 -9.977307465812E-04 -5.569843417464E-04      2
   16  3.459013874926E-02  3.971537142251E-04  0.000000000000E+00  3.498729246349E-02 -8.917672320147E-04 -4.946135177895E-04      2
   17  3.379618868546E-02  3.565365507769E-04  0.000000000000E+00  3.415272523623E-02 -7.939500638041E-04 -4.374135130272E-04      1
   18  3.309088257873E-02  3.194313488915E-04  0.000000000000E+00  3.341031392762E-02 -7.053061067264E-04 -3.858747578348E-04      2
   19  3.246426460085E-02  2.862626489826E-04  0.000000000000E+00  3.275052724983E-02 -6.266179778810E-04 -3.403553288984E-04      2
   20  3.190615606246E-02  2.572057122784E-04  0.000000000000E+00  3.216336177474E-02 -5.581085383864E-04 -3.009028261081E-04      2
   21  3.140671189073E-02  2.321769455166E-04  0.000000000000E+00  3.163888883625E-02 -4.994441717300E-04 -2.672672262134E-04      2
   22  3.095677739904E-02  2.109262866698E-04  0.000000000000E+00  3.116770368571E-02 -4.499344916900E-04 -2.390082050201E-04      2
   23  3.054812014330E-02  1.930957619518E-04  0.000000000000E+00  3.074121590525E-02 -4.086572557418E-04 -2.155614937900E-04      1
   24  3.017356793867E-02  1.782592314520E-04  0.000000000000E+00  3.035182717012E-02 -3.745522046315E-04 -1.962929731795E-04      2
   25  2.982704810766E-02  1.659658171417E-04  0.000000000000E+00  2.999301392480E-02 -3.465198310144E-04 -1.805540138727E-04      2
   26  2.950355077084E-02  1.557741700066E-04  0.000000000000E+00  2.965932494085E-02 -3.234973368127E-04 -1.677231668061E-04      2
   27  2.919904708828E-02  1.472725166192E-04  0.000000000000E+00  2.934631960490E-02 -3.045036825580E-04 -1.572311659388E-04      2
   28  2.891037939862E-02  1.400916389284E-04  0.000000000000E+00  2.905047103755E-02 -2.886676896621E-04 -1.485760507337E-04      2
   29  2.863513789905E-02  1.339118152183E-04  0.000000000000E+00  2.876904971427E-02 -2.752414995756E-04 -1.413296843573E-04      1
   30  2.837153636037E-02  1.284643245248E-04  0.000000000000E+00  2.850000068490E-02 -2.636015386747E-04 -1.351372141499E-04      2
   31  2.811829440627E-02  1.235296789675E-04  0.000000000000E+00  2.824182408524E-02 -2.532419541009E-04 -1.297122751334E-04      2
   32  2.787453072768E-02  1.189339081900E-04  0.000000000000E+00  2.799346463587E-02 -2.437636785908E-04 -1.248297704008E-04      2
   33  2.763966958132E-02  1.145436720455E-04  0.000000000000E+00  2.775421325336E-02 -2.348611463627E-04 -1.203174743172E-04      2
   34  2.741336120809E-02  1.102609030047E-04  0.000000000000E+00  2.752362211110E-02 -2.263083732270E-04 -1.160474702223E-04      2
   35  2.719541569899E-02  1.060174465261E-04  0.000000000000E+00  2.730143314552E-02 -2.179455090989E-04 -1.119280625729E-04      1
   36  2.698574923560E-02  1.017699570106E-04  0.000000000000E+00  2.708751919261E-02 -2.096664633880E-04 -1.078965063774E-04      2
   37  2.678434131971E-02  9.749520303589E-05  0.000000000000E+00  2.688183652274E-02 -2.014079158952E-04 -1.039127128593E-04      2
   38  2.659120150569E-02  9.318585617573E-05  0.000000000000E+00  2.668438736187E-02 -1.931398140186E-04 -9.995395784285E-05      2
   39  2.640634419196E-02  8.884678147208E-05  0.000000000000E+00  2.649519097343E-02 -1.848573137301E-04 -9.601053225800E-05      2
