#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   0.0000000000000000E+00   0.0000000000000000E+00   1.0000000000000002E+00   0.0000000000000000E+00   5.5511151231256798E-17   0.0000000000000000E+00   2.5163331506687795E-16   0.0000000000000000E+00
       0.025013  -2.9413849423642776E-07   3.9990123444166744E-07   6.0227735095380819E-01  -7.9828550879441662E-01  -1.0372017876514322E-07   1.3974751318646122E-07   4.0299579383139183E-07  -5.2940835046362780E-07
       0.050025  -3.0120723909836686E-06   3.9235201084405540E-06  -2.7452174601395429E-01  -9.6157856286643739E-01   1.0080635558934516E-07   3.3315975458969625E-07  -6.2267257394687246E-06  -2.2758307327827880E-06
       0.075038  -1.0741158599267399E-05   1.3492067769192116E-05  -9.3295245985007036E-01  -3.5999025700313486E-01   4.9162228746291276E-07   1.7649522802281925E-07  -1.1850638468309226E-06   2.3084682077137942E-05
       0.100050  -2.6207602937097037E-05   3.1799373711868558E-05  -8.4927113048627167E-01   5.2794844347231584E-01   5.8066744591799765E-07  -3.8677643524054472E-07   5.3553143318664642E-05  -1.3528449073558442E-05
       0.125063  -5.2242681218824743E-05   6.1297538914678229E-05  -9.0043172194093662E-02   9.9593218128443339E-01   4.4663428627397805E-08  -8.7519253513800086E-07  -5.6052836232527456E-05  -9.2275544061546364E-05
       0.150075  -9.1748711089237924E-05   1.0418521794342655E-04   7.4080717236017801E-01   6.7170747755377813E-01  -8.1985189752384771E-07  -6.7630777980665609E-07  -1.2366118038756763E-04   1.3909283176714870E-04
       0.175088  -1.4766506808585263E-04   1.6239858096520461E-04   9.8238546082507772E-01  -1.8682136764207535E-01  -1.2282490265136568E-06   3.0312411838231106E-07   2.6765222116854073E-04   1.2236077540142421E-04
       0.200100  -2.2293453902458215E-04   2.3760498139344601E-04   4.4253150493026711E-01  -8.9674185279272778E-01  -5.7935958264897996E-07   1.3792439106375250E-06   5.7106729154720433E-05  -4.3314909160636970E-04
       0.225113  -3.2047030267873049E-04   3.3119932911447641E-04  -4.4932882184843109E-01  -8.9335292549423051E-01   9.0112327352794841E-07   1.5285148678573793E-06  -6.0952594976371025E-04   1.0237398224841313E-04
       0.250125  -4.4312382199630172E-04   4.4430314336677581E-04  -9.8376956482978040E-01  -1.7935334840472938E-01   2.1141849416151347E-06   2.3079528959830473E-07   3.7642591305892464E-04   7.5279641097434399E-04
       0.275138  -5.9365392395444960E-04   5.7776623379150673E-04  -7.3567541372980805E-01   6.7730651511488760E-01   1.7668766778831381E-06  -1.8918367306886254E-06   8.0492610327112448E-04  -7.6617980119594831E-04
       0.300150  -7.7469733277663066E-04   7.3217093335087942E-04   9.7602586603782501E-02   9.9520121256527772E-01  -5.6130567413141999E-07  -3.1562615248057040E-06  -1.2459324353016417E-03  -7.0215829282416144E-04
       0.325163  -9.8874090983063758E-04   9.0783878307885665E-04   8.5323290649986960E-01   5.2146962355405524E-01  -3.6010792798243397E-06  -1.8216536611938314E-06  -3.8699317419803585E-04   1.7591974931469813E-03
       0.350175  -1.2380958392567587E-03   1.1048395462916628E-03   9.3015649545345347E-01  -3.6705004325583140E-01  -4.6181651840451918E-06   2.2746860359603383E-06   2.2200351921347482E-03  -1.7782961905025394E-04
       0.375188  -1.5248739823830316E-03   1.3230024091882208E-03   2.6719938760738327E-01  -9.6358408148060082E-01  -1.2337437803395430E-06   6.5101334039701558E-06  -9.9565362265726493E-04  -2.5205204620198998E-03
       0.400200  -1.8509666063642905E-03   1.5619292058949900E-03  -6.0827537014666266E-01  -7.9363410179370764E-01   5.7676272643699097E-06   6.3341134402403004E-06  -2.5442105841099148E-03   2.0251624699108447E-03
       0.425213  -2.2180256732772809E-03   1.8210094890816421E-03  -9.9987493111521974E-01   7.5867168295756324E-03   1.1031614205597793E-05  -1.0397128623764086E-06   3.1750960226902092E-03   2.1843729955751527E-03
       0.450225  -2.6274478551225507E-03   2.0994372523599086E-03  -5.9613153096344007E-01   8.0272969284207696E-01   7.4748206559660081E-06  -1.2181689742512853E-05   1.3647093267036038E-03  -4.3063972980191675E-03
       0.475238  -3.0803614177816042E-03   2.3962290978124063E-03   2.8175579261034700E-01   9.5931545279009633E-01  -6.7415185064638477E-06  -1.7055173369722016E-05  -5.2428075700768602E-03  -5.9540804611463003E-05
       0.500250  -3.5776160929025568E-03   2.7102436311732961E-03   9.3545759008678542E-01   3.5284261696671032E-01  -2.2541794070156546E-05  -6.1717279601995537E-06   1.6899462905994821E-03   5.7896883392931859E-03
       0.525263  -4.1197760308706397E-03   3.0402018583803735E-03   8.4503119744100730E-01  -5.3421548799635399E-01  -2.3340376727772489E-05   1.8121776702641596E-05   5.7594963351838783E-03  -3.7666602162258213E-03
