U = [
{ 5.58908315E-01, 8.28807641E-01}(-1.28477117E-04,-6.06896827E-04)(-1.09915858E-03, 8.73683031E-03)( 4.33767949E-04, 1.99201032E-03)
( 5.06623500E-04,-8.75001379E-05){ 9.79167109E-01, 1.89586251E-01}( 3.02855272E-03,-1.25395024E-03)(-3.21134136E-03,-4.63543106E-03)
(-8.11408353E-03,-1.80052858E-03)( 4.65193650E-05,-3.24860869E-03){ 5.61004853E-01, 8.24796187E-01}( 1.40405250E-04, 1.36853617E-04)
(-1.99882641E-03, 3.45741933E-04)( 5.50662171E-03,-3.16738325E-03)(-2.85173689E-04,-9.14219820E-05){ 9.77145784E-01, 1.87691961E-01}
]
