#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.000000   1.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00
       0.025013   9.9999999999265266E-01   1.0296555732541314E-13  -4.2986576151054715E-07   8.2711654181076211E-07  -4.1734379621547095E-07   8.1869147723837402E-07  -5.1999183428907080E-13  -7.2823273330228930E-13
       0.050025   9.9999999929763095E-01   1.7154545170343662E-11   3.7710935052104943E-06   8.2993716452145992E-06   3.7947660554816880E-06   8.1457389569520024E-06  -5.5671152358590078E-11   6.4990902295859968E-11
       0.075038   9.9999999173641274E-01   3.4387140539194415E-10   3.0410951610769773E-05   7.3327236665970390E-06   3.0066599792879012E-05   6.8401181185885200E-06   9.0276461132664390E-10   4.4756671397890590E-10
       0.100050   9.9999995428141542E-01   2.6813466081276871E-09   5.7661901936761770E-05  -4.5786439022930923E-05   5.6068630481759519E-05  -4.6067504933302802E-05   1.1736022915909074E-09  -5.4563988855484855E-09
       0.125063   9.9999983065051812E-01   1.2812293798392954E-08  -1.1053919682670838E-06  -1.4182834438474575E-04  -3.9681979791149779E-06  -1.3970530317463818E-04  -2.0691754492716354E-08   7.5024482194817056E-10
       0.150075   9.9999951187263714E-01   4.5284468121272289E-08  -1.9105562002427460E-04  -1.4699438554665483E-04  -1.9173151605260863E-04  -1.4014295706630387E-04   1.6747312326178943E-08   5.7401293756170092E-08
       0.175088   9.9999881564940352E-01   1.3036323614836663E-07  -3.6418751750837190E-04   9.3434336429737883E-05  -3.5591604480232435E-04   1.0227001846244972E-04   1.2539029852355835E-07  -7.3637855251357362E-08
       0.200100   9.9999746611454621E-01   3.2331160401231300E-07  -2.2106972956521036E-04   5.0448230967454208E-04  -2.0127593042077444E-04   5.0359821228372582E-04  -2.1886094630524545E-07  -2.2228969246679132E-07
       0.225113   9.9999507535905285E-01   7.1586942620906928E-07   3.6430903166194460E-04   6.7748561707641202E-04   3.8296819495234905E-04   6.5314192880249811E-04  -3.1634169296498534E-07   5.1941722474530510E-07
       0.250125   9.9999112785210909E-01   1.4496349580315185E-06   1.0194214759977106E-03   1.7632841881604007E-04   1.0092858057209565E-03   1.3208468415719271E-04   1.0499855958279436E-06   3.2634846805469870E-07
       0.275138   9.9998496865082176E-01   2.7309050136235889E-06   1.0015289459443866E-03  -9.0470163182820927E-04   9.4356200772021444E-04  -9.3349618673391622E-04   1.0479777386402924E-07  -1.8672903133516927E-06
       0.300150   9.9997579606137044E-01   4.8464079671507038E-06  -1.1935910311423282E-04  -1.7127724145239436E-03  -2.0077248994361630E-04  -1.6756568738414848E-03  -2.9709592065052349E-06   5.6787082808200258E-07
       0.325163   9.9996265919541039E-01   8.1792693885322087E-06  -1.7701468465147088E-03  -1.1997912534056994E-03  -1.8000589957654510E-03  -1.0830937957865222E-03   1.9695706913231090E-06   4.2553266679245797E-06
       0.350175   9.9994446066260756E-01   1.3224485330147506E-05  -2.4913505642891573E-03   7.9736285583210096E-04  -2.3961562006202461E-03   9.2417674634363411E-04   5.4610807422761259E-06  -4.3969304106783448E-06
       0.375188   9.9991996445636377E-01   2.0603144587952999E-05  -1.0972406567740689E-03   2.9531653577412275E-03  -8.9268786203203373E-04   2.9592647031833176E-03  -8.0971568904101997E-06  -6.1393385619788671E-06
       0.400200   9.9988780892723605E-01   3.1074639304009268E-05   1.9548309105294724E-03   3.1920897569582573E-03   2.1223992992341562E-03   2.9938317157414862E-03  -5.6426655019401425E-06   1.3174618377279910E-05
       0.425213   9.9984652459817758E-01   4.5546132922009338E-05   4.3648782207314305E-03   5.0918977841018414E-04   4.3008495370292525E-03   1.9127997045707509E-04   1.9482182631941861E-05   3.1569211791567054E-06
       0.450225   9.9979455645715565E-01   6.5078614787742053E-05   3.5964971345282741E-03  -3.6227324053342805E-03   3.2402242463549120E-03  -3.8038343035979348E-03  -2.2158464335450481E-06  -2.6514095788999112E-05
       0.475238   9.9973029026434135E-01   9.0888959803086470E-05  -7.2310554373637627E-04  -5.8293130066132152E-03  -1.1648568019047658E-03  -5.6253160658789941E-03  -3.3322586996731567E-05   1.1319935407886401E-05
       0.500250   9.9965208233030356E-01   1.2434752684637763E-04  -5.7406424357175053E-03  -3.4579236572997401E-03  -5.8766673218905753E-03  -2.8880007051252056E-03   2.4759651104350938E-05   3.8483148665810386E-05
       0.525263   9.9955829215507452E-01   1.6697096768180741E-04  -7.0922625974759960E-03   2.6951377068584136E-03  -6.6581925659305284E-03   3.2424948639965439E-03   4.0132485873720626E-05  -4.2680513721842340E-05
       0.550275   9.9944731726185498E-01   2.2041007448594989E-04  -2.5386668628427319E-03   8.1427122802104034E-03  -1.7133016469851614E-03   8.1383990722231833E-03  -6.4545190158332710E-05  -3.6097754246656624E-05
       0.575288   9.9931762950986047E-01   2.8643266381346224E-04   5.4054999980243249E-03   7.8448983124608067E-03   5.9979446560038258E-03   7.0804666194845354E-03  -2.4125772270487793E-05   8.8940365190038595E-05
       0.600300   9.9916781212551975E-01   3.6690167196687027E-04   1.0558196197976181E-02   6.5263396550014675E-04   1.0282595132753826E-02  -4.3771369812836648E-04   1.1345622746822058E-04   2.2069367118153834E-06
       0.625313   9.9899659664835982E-01   4.6374881484709024E-04   7.7606460078962292E-03  -8.7312513065220618E-03   6.5726122719974786E-03  -9.2557150163101419E-03  -3.1028145700266483E-05  -1.3468042858555496E-04
       0.650325   9.9880289894767615E-01   5.7894433749042088E-04  -2.2917864863816017E-03  -1.2628536509265155E-02  -3.6047175404081491E-03  -1.1924315136949181E-02  -1.4834201076895624E-04   7.5878808453200917E-05
       0.675338   9.9858585343095541E-01   7.1446353747028272E-04  -1.2417224986204798E-02  -6.5420538739438851E-03  -1.2704506830312066E-02  -4.8675404003190566E-03   1.3116654147914258E-04   1.4962733779358479E-04
